,id,spotify_id,list_name,list_id,song_id,song_name,artist,popularity,release_date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
63,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,45V8MMmD4q6geaMx4q8pAU,Kali Teri,Hari & Sukhmani,26,2021-05-14,0.316,0.0883,75.609,0.0456,0.69,5.88e-05,0.442,288424,-12.31,0.361,0,1
64,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,0zFcYzwaLbJAhg7bvSVavv,Mai Ni Meriye,Lost Stories,50,2020-05-21,0.505,0.219,96.036,0.0808,0.441,0.00456,0.616,172902,-6.786,0.671,1,4
65,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,3WBsWNtL054HCFz7UUGK9e,Teri Ay,Umer Farooq,44,2018-04-13,0.456,0.127,100.008,0.0262,0.617,0.00166,0.666,232800,-9.429,0.276,1,9
66,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,7lHau1GwOrvzaFFef7Q8u3,Aakhari Apeel,Satinder Sartaaj,33,2022-01-27,0.871,0.153,69.858,0.0562,0.315,0,0.568,288600,-2.734,0.918,1,5
67,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,12IT9FwJuLloQ00BBqrqh2,Amar,Prabh Deep,44,2019-06-19,0.665,0.112,83.077,0.43,0.632,2.86e-06,0.522,272747,-7.694,0.395,0,1
68,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,2H3v7qzpdzubw9bEeL0CgL,Ikko - Mikke,Satinder Sartaaj,49,2020-02-13,0.649,0.0544,144.056,0.0567,0.381,0,0.757,398333,-7.03,0.819,1,3
69,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,4zppewvc7dMM9P7fwywsGR,Uddi Ja (Coke Studio Season 9),Mohsin Abbas Haider,35,2016-09-06,0.704,0.133,120.004,0.0285,0.621,0,0.625,422000,-6.443,0.419,1,2
70,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,0cJTjTH3XVTTJh8F4Uq1db,Waqt Ki Baatein,Dream Note,70,2018-03-15,0.202,0.112,145.017,0.0324,0.915,0.0381,0.556,243310,-16.397,0.2,1,4
71,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,32DWojMZeZebVrfBkhAkKy,Barso Re,A.R. Rahman,59,2006-09-11,0.487,0.0706,116.991,0.148,0.337,0.000284,0.879,329600,-9.441,0.338,1,0
72,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,7bd6i95HUlQkNkTQClwcW5,Zakir,NAALAYAK,46,2021-10-29,0.508,0.0809,144.106,0.0343,0.275,8.28e-06,0.613,221667,-8.489,0.327,1,7
73,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,73yIZXOY6Th386dlZTZLju,"Mar Jayian Romantic (From ""Vicky Donor"")",Vishal Dadlani,28,2012-04-04,0.721,0.102,145.938,0.0345,0.204,1.02e-05,0.632,288960,-7.616,0.808,0,0
74,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,1MYjn3O9yECsz2KvWSNyJy,Piyu Bole,Sonu Nigam,52,2005,0.25,0.146,97.521,0.0273,0.763,0,0.667,265038,-15.148,0.599,1,1
75,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,5FXMRdJjKq1BIX4e8Eg9mK,Ajab Si,KK,69,2007-09-18,0.438,0.293,117.954,0.0289,0.397,0,0.697,241668,-8.411,0.58,1,8
76,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,6JUQViD0hLXlvWXCV4uUF8,Chitta,Manan Bhardwaj,68,2021-09-22,0.494,0.0772,169.93,0.0536,0.706,0,0.412,228189,-9.282,0.496,1,6
77,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,2xRtXbFAmk3cW6xE1zF7ye,Tu Jhoom,Naseebo Lal,62,2022-01-19,0.481,0.0909,84.794,0.0395,0.255,0.000414,0.42,397547,-8.949,0.0594,1,7
78,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,0PHMSWGP1gocqLNq7ILQgY,Chaap Tilak,Hadiqa Kiani,28,2017-09-14,0.687,0.231,93.996,0.128,0.862,1.43e-05,0.455,404002,-7.592,0.369,0,1
79,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,5su3i7O5h0mn8ckjm3OaiD,Kamli,Hadiqa Kiani,25,2017-09-14,0.764,0.107,96.293,0.0728,0.755,0.0224,0.476,522785,-6.439,0.386,0,7
80,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,3At4t5vZ0lDuNWLBPEk6Ck,Channa Vey,Kunal Ganjawala,51,2004-01-01,0.899,0.0913,115.01,0.043,0.00132,0.000107,0.695,269960,-5.556,0.7,1,8
81,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,6Ln89sczgIcAJXGAIdS94R,Riha,Anuv Jain,59,2019-07-28,0.148,0.114,142.611,0.03,0.897,0,0.389,287324,-11.011,0.4,1,3
82,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,0oukMLKedsqQ3ltnI2daRO,Haaye Oye (feat. Ash King),QARAN,66,2019-03-22,0.727,0.153,123.959,0.0383,0.173,0,0.633,200029,-4.104,0.543,0,11
83,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,3bM0sCyyhglscs8EvsBZ36,Lagan Laagi Re,Amit Trivedi,57,2021-02-12,0.29,0.152,138.317,0.0314,0.875,0,0.398,278654,-10.273,0.215,1,0
84,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,29YePgOxuPLfU7uZKxKf6w,Sawaar Loon,Monali Thakur,64,2013-05-29,0.645,0.118,111.935,0.0433,0.497,6.89e-05,0.82,254700,-6.873,0.789,1,5
85,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,5UHvVfewZKxwoB6gdhSFtr,Monta Re,Swanand Kirkire,59,2013-05-29,0.295,0.0954,150.054,0.0567,0.918,0.00454,0.718,237614,-11.098,0.751,1,4
86,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,4Ko5KYEiZ0rrFiBJKmvMQc,Ik Onkar,A.R. Rahman,50,2005-12-04,0.218,0.108,85.863,0.0384,0.962,0,0.399,88373,-12.295,0.15,1,2
87,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,4REr6h0i1I7LSR8pfJee8G,Paayaliya,Shruti Pathak,37,2009-01-02,0.555,0.515,115.005,0.0724,0.185,2.11e-06,0.822,352897,-9.524,0.521,0,1
88,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,22jbgc9BtV1uiV7hKYTyDx,Chaandaniya,Mohan Kannan,54,2014-03-14,0.546,0.129,113.806,0.0405,0.301,1.69e-06,0.567,247862,-8.316,0.401,1,4
89,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,22kRCQPyNXWZSQEcDvCmGD,Gulabi,Sachin-Jigar,62,2013-08-19,0.663,0.117,124.002,0.0446,0.0648,1.79e-05,0.673,230661,-10.026,0.678,1,4
90,1,3TiDHuwWaWeMCRmatZRC8H,My playlist,3TiDHuwWaWeMCRmatZRC8H,2U2xgNrMtfHtXks6TrY1zt,Kala Dooria,Surinder Kaur,29,2011-12-31,0.368,0.206,99.748,0.105,0.904,6.6e-05,0.81,179200,-9.656,0.961,1,1
